GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
viinted,com.spq.vinted.config,WebSocketConfig,0,40,0,0,0,6,0,3,0,3
viinted,com.spq.vinted.config,WebConfig,0,47,0,0,0,7,0,2,0,2
viinted,com.spq.vinted.model,Electronics,0,38,0,0,0,9,0,5,0,5
viinted,com.spq.vinted.model,Offer,0,107,0,0,0,39,0,19,0,19
viinted,com.spq.vinted.model,Ad,0,52,0,0,0,18,0,11,0,11
viinted,com.spq.vinted.model,Species,0,15,0,0,0,3,0,1,0,1
viinted,com.spq.vinted.model,Home,0,38,0,0,0,9,0,5,0,5
viinted,com.spq.vinted.model,Message.MessageType,0,15,0,0,0,2,0,1,0,1
viinted,com.spq.vinted.model,Purchase,0,73,0,0,0,31,0,16,0,16
viinted,com.spq.vinted.model,Entertainment,0,38,0,0,0,9,0,5,0,5
viinted,com.spq.vinted.model,ClothesType,0,45,0,0,0,8,0,1,0,1
viinted,com.spq.vinted.model,HomeType,0,15,0,0,0,3,0,1,0,1
viinted,com.spq.vinted.model,Offer.OfferStatus,0,21,0,0,0,2,0,1,0,1
viinted,com.spq.vinted.model,ElectronicsType,0,15,0,0,0,3,0,1,0,1
viinted,com.spq.vinted.model,Shipment,14,49,0,0,6,21,4,10,4,10
viinted,com.spq.vinted.model,ShipmentStatus,0,21,0,0,0,4,0,1,0,1
viinted,com.spq.vinted.model,Item,0,151,0,8,0,44,0,25,0,21
viinted,com.spq.vinted.model,EntertainmentType,0,15,0,0,0,3,0,1,0,1
viinted,com.spq.vinted.model,Clothes,0,62,0,0,0,17,0,9,0,9
viinted,com.spq.vinted.model,ChatRoom,0,60,0,0,0,23,0,12,0,12
viinted,com.spq.vinted.model,Message,0,98,0,4,0,40,0,19,0,17
viinted,com.spq.vinted.model,Pet,0,38,0,0,0,9,0,5,0,5
viinted,com.spq.vinted.model,Category,0,27,0,0,0,5,0,1,0,1
viinted,com.spq.vinted.model,Rating,0,38,0,0,0,16,0,11,0,11
viinted,com.spq.vinted.model,User,4,271,0,4,2,69,1,35,1,33
viinted,com.spq.vinted.model,ClothesSize,0,27,0,0,0,5,0,1,0,1
viinted,com.spq.vinted.dto,HomeDTO,0,22,0,0,0,8,0,4,0,4
viinted,com.spq.vinted.dto,UserDTO,0,21,0,0,0,1,0,1,0,1
viinted,com.spq.vinted.dto,PurchaseDTO,0,76,0,0,0,31,0,16,0,16
viinted,com.spq.vinted.dto,RatingDTO,0,46,0,0,0,19,0,10,0,10
viinted,com.spq.vinted.dto,ChatRoomDTO,0,36,0,0,0,16,0,8,0,8
viinted,com.spq.vinted.dto,ShipmentDTO,31,45,0,0,9,15,9,7,9,7
viinted,com.spq.vinted.dto,EntertainmentDTO,0,22,0,0,0,8,0,4,0,4
viinted,com.spq.vinted.dto,AdDTO,11,15,0,0,3,6,3,3,3,3
viinted,com.spq.vinted.dto,SignupDTO,0,18,0,0,0,1,0,1,0,1
viinted,com.spq.vinted.dto,LoginDTO,0,9,0,0,0,1,0,1,0,1
viinted,com.spq.vinted.dto,EditUserDTO,0,12,0,0,0,1,0,1,0,1
viinted,com.spq.vinted.dto,OfferDTO,0,76,0,0,0,32,0,16,0,16
viinted,com.spq.vinted.dto,ItemDTO,0,80,0,0,0,31,0,16,0,16
viinted,com.spq.vinted.dto,OfferReturnerDTO,4,88,0,0,2,36,1,18,1,18
viinted,com.spq.vinted.dto,RatingInfoDTO,12,44,0,0,6,17,3,9,3,9
viinted,com.spq.vinted.dto,PaginatedResponseDTO,12,21,0,0,6,8,3,4,3,4
viinted,com.spq.vinted.dto,ChatMessageDTO,0,63,0,0,0,27,0,14,0,14
viinted,com.spq.vinted.dto,PetDTO,0,22,0,0,0,8,0,4,0,4
viinted,com.spq.vinted.dto,ElectronicsDTO,0,22,0,0,0,8,0,4,0,4
